FID IID PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10
MAYO_10139 MAYO_10139 -0.0118 -0.0040 0.0100 -0.0080 0.0201 0.0615 -0.0219 -0.0301 0.0293 0.0737
MAYO_10198 MAYO_10198 -0.0083 -0.0074 0.0133 -0.0025 0.0624 -0.0283 -0.0572 -0.0150 0.0341 -0.0103
MAYO_102246 MAYO_102246 -0.0053 0.1093 -0.0200 0.0049 0.0073 0.0272 -0.0010 0.0474 -0.1290 0.0441
MAYO_10249 MAYO_10249 -0.0156 -0.0078 0.0181 0.0116 -0.0007 -0.0200 0.0069 0.0623 -0.0060 0.0203
MAYO_10278 MAYO_10278 -0.0127 0.0043 0.0139 -0.0173 0.0274 0.1298 0.0159 0.0068 0.0140 0.0518
MAYO_10304 MAYO_10304 -0.0049 -0.0004 0.0036 0.0040 0.0150 -0.0051 0.0108 0.0083 -0.0375 0.0445
MAYO_10316 MAYO_10316 -0.0113 -0.0052 0.0020 -0.0089 -0.0102 0.0184 0.0040 -0.0451 0.0274 0.0523
MAYO_10367 MAYO_10367 -0.0128 -0.0125 -0.0011 -0.0045 -0.0041 0.0003 -0.0079 -0.0297 -0.0026 -0.0026
MAYO_10403 MAYO_10403 -0.0118 -0.0051 -0.0075 -0.0123 0.0037 0.0092 -0.0105 0.0013 0.0180 0.0276
MAYO_10529 MAYO_10529 -0.0154 -0.0102 0.0001 -0.0133 -0.0079 0.0068 0.0024 -0.0076 -0.0152 -0.0145
MAYO_10548 MAYO_10548 -0.0162 -0.0050 0.0054 0.0072 -0.0121 -0.0001 0.0179 0.0299 -0.0030 -0.0038
MAYO_10610 MAYO_10610 -0.0121 -0.0074 -0.0011 -0.0031 -0.0080 0.0024 0.0048 -0.0197 0.0051 -0.0025
MAYO_10633 MAYO_10633 0.0051 -0.0059 0.0201 0.0017 0.1048 -0.0309 0.0218 0.0049 0.0056 -0.0117
MAYO_10668 MAYO_10668 -0.0042 -0.0087 0.0058 -0.0028 0.0339 -0.0097 -0.0306 -0.0118 0.0338 -0.0000
MAYO_10734 MAYO_10734 -0.0012 -0.0092 0.0081 0.0038 0.0126 -0.0082 0.0192 0.0228 -0.0380 0.0062
MAYO_10811 MAYO_10811 -0.0046 0.0049 0.0105 -0.0036 0.0153 0.0758 0.0192 -0.0008 0.0292 -0.0150
MAYO_108280 MAYO_108280 -0.0144 -0.0088 -0.0026 0.0038 -0.0104 -0.0006 -0.0007 0.0021 -0.0082 0.0339
MAYO_10877 MAYO_10877 -0.0085 -0.0091 -0.0032 -0.0061 0.0077 0.0057 -0.0069 -0.0120 0.0236 0.0134
MAYO_11184 MAYO_11184 -0.0166 -0.0129 -0.0029 -0.0035 0.0082 -0.0122 0.0034 -0.0478 0.0245 0.0456
MAYO_112127 MAYO_112127 0.0072 -0.0035 0.0189 -0.0115 0.0066 0.0956 0.0273 0.0121 0.0051 -0.0195
MAYO_112329 MAYO_112329 -0.0086 -0.0027 -0.0058 -0.0130 -0.0094 -0.0092 -0.0000 -0.0027 0.0027 0.0141
MAYO_11324 MAYO_11324 -0.0024 -0.0006 0.0022 -0.0039 -0.0017 0.0250 -0.0095 -0.0067 -0.0052 0.0035
MAYO_11560 MAYO_11560 -0.0052 -0.0049 0.0022 0.0071 -0.0027 -0.0227 0.0046 0.0169 -0.0233 -0.0155
MAYO_11623 MAYO_11623 -0.0079 -0.0063 -0.0001 -0.0033 -0.0009 0.0210 -0.0110 -0.0012 -0.0307 -0.0102
MAYO_11680 MAYO_11680 -0.0068 0.0557 -0.0002 0.0004 0.0316 0.0094 -0.0284 0.0027 -0.0543 0.0237
