group,n.variants,miss.min,miss.mean,miss.max,freq.min,freq.mean,freq.max,B.score,B.var,B.pval,S.pval,O.pval,O.minp,O.minp.rho,E.pval,cMAC
LOC400710,15,0,0,0,0.000171556636987492,0.00165751153521981,0.0039282803145805,-306.254998047008,8092.71825978527,0.000663183433248665,0.00729365763807299,0.000768796390515858,0.000663183433248665,1,0.00179303084795807,61.012999611441
LRP3,27,0,0,0,0.000209861444863441,0.00108163542945056,0.00790668300545783,-201.817117956025,6381.54209897413,0.0115251420148304,0.0141699321837763,0.0112392674931792,0.00569987763639357,0.25,0.00311194452145576,71.6670002845349
ZNF473,17,0,0,0,0.000408720456455783,0.00335406779212734,0.00409168704150445,-490.360709911872,57400.8367391982,0.0406864547581853,0.00837097500492523,0.00912403306989817,0.00837097500492523,0,0.00440734397599499,139.925000151969
B3GNT8,12,0,0,0,0.000208638956800282,0.00123516028656496,0.00443765280016652,-106.123220340762,3500.30324570335,0.07285593602425,0.000881720875615111,0.00130659293914448,0.000881720875615111,0,0.00454232874732848,36.3730001187651
ZNF529-AS1,19,0,0,0,0.000153626737645171,0.00137000815345282,0.0043361858150162,-221.350427872047,5648.25870058354,0.00322687364295355,0.0100748377271864,0.00380643145437065,0.00177978564261294,0.16,0.00567135429251792,63.8780001628911
LILRA2,11,0,0,0,0.00019152404393389,0.00109739201872478,0.00265199674553175,-148.980280507449,2063.14059295636,0.00103833400265548,0.0368029405553651,0.00212851396338354,0.00103833400265548,1,0.00634694825154181,29.6230001534568
MUC16,247,0,0,0,0.000127546864908231,0.00120019533749286,0.00990994297453379,-1394.60562485454,317067.399813422,0.0132598620327261,0.00456837312479652,0.00665404461922192,0.00456837312479652,0,0.00650728343269538,727.484001477249
ZNF550,8,0,0,0,0.000251426245370529,0.00113508557515843,0.00393031785653042,142.594577999743,1863.22619836039,0.000954965646981028,0.0503715593822812,0.00183530705703583,0.000954965646981028,1,0.00717933174599218,22.2840000115102
FTL,4,0,0,0,0.00027872860465258,0.00153361858782549,0.00374775877673659,-81.4214109933087,1270.07464448382,0.0223320237743357,0.00191104127271058,0.00323315126633683,0.00191104127271058,0,0.0078269387597821,15.054000058095
ZNF134,18,0,0,0,0.000147514259805121,0.000924295935398443,0.00741605541769213,90.8298070831641,3692.13582725774,0.134960834794629,0.00315297059605901,0.00535409284105992,0.00315297059605901,0,0.00791432768079362,40.82800005842
TM6SF2,10,0,0,0,0.000424612878887066,0.00148011410310781,0.00651181743189179,-32.7340673233534,2900.42598223582,0.543312347996984,0.0255355939255312,0.0455720214293328,0.0255355939255312,0,0.0130821284423261,36.3220000902656
ZNF253,6,0,0,0,0.00018622657500842,0.000914629185429001,0.00224979627272532,-72.8055482791849,959.721491336806,0.018766860718442,0.0576231058273997,0.0329471366000234,0.0183273687193672,0.5,0.0137121060201793,13.4670001262566
CEBPA-DT,24,0,0,0,0.00024898125401629,0.00172376732030476,0.00892053789463154,272.880650268443,11581.2311064467,0.0112227491279249,0.0813635351097535,0.0218942352257985,0.0110409576588362,0.5,0.0137977549614705,101.523000096669
CEP89,15,0,0,0,0.000165444170864877,0.00145789187825511,0.00608394458414053,-170.32193156136,4762.80143472728,0.0135882873014209,0.0683992719621782,0.0251875566715567,0.0132359823233371,0.5,0.0155206340348473,53.6650000385707
ZNF560,7,0,0,0,0.00044254279820121,0.00141954826316334,0.00500692746617369,-134.636867137274,1996.90167684228,0.00258758614078058,0.113980733853338,0.00454066448925794,0.00258758614078058,1,0.0158404725523684,24.3850000646198
VASP,5,0,0,0,0.000288101056764872,0.000364547681388655,0.000444987774991674,-65.9008330936873,478.138158231357,0.00257999156120291,0.0923846646369909,0.00490301338070809,0.00257999156120291,1,0.0175835838006826,4.4730000506388
