group,n.variants,miss.min,miss.mean,miss.max,freq.min,freq.mean,freq.max,B.score,B.var,B.pval,S.pval,O.pval,O.minp,O.minp.rho,E.pval,cMAC
TOMM40,12,0,0,0,0.000209861440404175,0.00724076337140124,0.0424115729734367,8.89648505929532,33.5575388930049,0.124597209387507,1.84161372418796e-06,2.9083673344088e-06,1.84161372418796e-06,0,2.7202105527343e-06,213.225999761024
PSG7,18,0,0,0,0.000413610427446827,0.00183901566704235,0.0146650366460735,-8.76824410617927,13.3343359807978,0.0163417478977246,0.00126246310576028,0.00234477349820139,0.00125278124445793,0.01,0.00162927918310646,81.2330000445945
ZNF154,11,0,0,0,0.000213121445701528,0.00565536787719618,0.0355309699452349,-0.2423342994971,22.5245801729448,0.959277173452109,0.00430348822092519,0.00645759365313725,0.00430348822092519,0,0.00203707672200755,152.661000477034
MIMT1,9,0,0,0,0.000288916059180308,0.00563125963545191,0.0332330889650621,14.5729203881486,19.5701803692051,0.00098704332381588,0.00690981625188924,0.00128366551941306,0.00098704332381588,1,0.00257309970622109,124.372000308591
LOC400710,16,0,0,0,0.000171556636987492,0.00308529441164313,0.024502037557993,-14.4592748218106,25.8505082195791,0.00445671862642031,0.212308581066471,0.0074707225616093,0.00445671862642031,1,0.00288065579414643,121.140999778756
B3GNT8,12,0,0,0,0.000208638956800282,0.00123516028656496,0.00443765280016652,-4.71946132208386,6.30607038551824,0.0601935561083465,0.000735828271642092,0.00103235193316031,0.000735828271642092,0,0.00369484803511401,36.3730001187651
ZNF529-AS1,19,0,0,0,0.000153626737645171,0.00137000815345282,0.0043361858150162,-9.48513564127124,10.1781133732352,0.00294805841435786,0.0101273203121786,0.0036935363714885,0.00174296040064559,0.25,0.00525766505239773,63.8780001628911
ZNF486,14,0,0,0,0.000175224121955254,0.00949249044700795,0.0447359416799786,3.66142177196321,98.7558964387186,0.712544247573373,0.0354075351139567,0.0456772510427544,0.0354075351139567,0,0.00561670850845288,326.124001797405
FTL,4,0,0,0,0.00027872860465258,0.00153361858782549,0.00374775877673659,-3.58852323926628,2.30185623208876,0.0180180057243377,0.00167763918071095,0.00272077995489062,0.00167763918071095,0,0.0074036518749125,15.054000058095
ZNF550,9,0,0,0,0.000251426245370529,0.00258946844838279,0.0142245314341777,6.14919200974693,9.72646446811624,0.0486440112184532,0.413571746193516,0.0731997244063067,0.0486440112184532,1,0.00758784464736889,57.1910001509823
COL5A3,28,0,0,0,0.000134066826498444,0.00619161137261847,0.0459225753977566,-28.1766424789342,75.4407576747067,0.00117847133366376,0.0330636352561569,0.00227293757620251,0.00117847133366376,1,0.00811158182907198,425.43800063536
ZNF493,16,0,0,0,0.000179706605116381,0.00398189181298159,0.0157314588867216,-10.6371751378804,32.809807044098,0.0633035087691933,0.00240561601849221,0.00402849994090626,0.00240561601849221,0,0.00815365114750714,156.345000144909
KLK11,10,0,0,0,0.00037082315657133,0.00342237165175623,0.022867155725481,-9.96846847506096,12.5466087302049,0.00488886391849246,0.00339058864262665,0.003558749422226,0.00284863984506512,0.25,0.00852790384555997,83.985000334098
SNORD105,2,0,0,0,0.000141401796149334,0.00545273022353782,0.0107640586509263,5.2054407508431,3.93823161388718,0.00871460010690776,0.00622878672687854,0.00639827363037204,0.00622878672687854,0,0.00957600859685535,26.7619999371236
ZNF134,19,0,0,0,0.000147514259805121,0.00257527989083722,0.0322929910887352,-3.29235659810916,22.8279059290972,0.490768745988675,0.0272164822489905,0.0395035019162771,0.0272164822489905,0,0.0109577681922546,120.075000190176
EBI3,2,0,0,0,0.000381010591791383,0.00805969843260937,0.0157383862734274,-6.28320771275384,4.92117775136407,0.00462072665881805,0.00789571064036787,0.00483445072242827,0.00462072665881805,1,0.0111107819853685,39.5569999072468
CCDC114,24,0,0,0,0.00019519152041007,0.00553419586759851,0.0397094539571599,-14.4242961904528,46.5405285431835,0.034484513877235,0.0729473963821582,0.0561923213516299,0.030227883022882,0.5,0.0129736061072163,325.941999818082
VASP,6,0,0,0,0.000288101056764872,0.00468941864373691,0.0263137734554782,-3.47738900547931,9.09197740970859,0.248807089543747,0.683583037663356,0.314089048644779,0.248807089543747,1,0.0157468520570514,69.0470001103822
ZNF83,9,0,0,0,0.00028891605287092,0.00248655256856305,0.012992257577862,-3.42234434103665,10.3460557232283,0.287334615471714,0.101914102239838,0.160993878796257,0.101914102239838,0,0.0158270382148538,54.9180000292836
MRPL4,10,0,0,0,0.000146291766144159,0.00466776691380389,0.0236222493431334,-2.76271141618321,13.9714730414103,0.45983468132687,0.0210220805250855,0.0366986932556205,0.0210220805250855,0,0.0185302639150065,114.547000064747
LRP3,28,0,0,0,0.000209861444863441,0.00244858249733363,0.0393561533301767,-7.0872692704254,30.461369280667,0.199101406317486,0.274228736892206,0.311687942618781,0.199101406317486,1,0.0196518687746314,168.247000556788
OR7D2,10,0,0,0,0.000175224129735252,0.0067884270752886,0.0414674002081368,-0.634095525891254,21.7704420576883,0.891899937613302,0.0337165671109441,0.0501252322371193,0.0337165671109441,0,0.0203991589983388,166.588000427582
PLIN4,43,0,0,0,0.000149959255191676,0.00327821687702736,0.0309779952781559,-25.4503001966608,96.2957024731598,0.00949992526645141,0.0288406675953163,0.012849600201097,0.00949992526645141,1,0.0205138135051086,345.924001297681
LOC641367,18,0,0,0,0.000291768539882513,0.0073928733190503,0.0444865526289724,-23.5774014533997,65.0512088210015,0.00346381087907299,0.0371598724996685,0.00608438035288772,0.00346381087907299,1,0.0215537794341075,326.55800024909
CACTIN,10,0,0,0,0.000229421353922852,0.00655203749991277,0.032773838645286,10.2991897150217,13.0451955284599,0.0043509545163788,0.0317961281147134,0.00730764588748933,0.0043509545163788,1,0.0233969595191281,160.787000247859
ZNF560,8,0,0,0,0.00044254279820121,0.00264944988316288,0.0112587612231597,-5.4263608779009,6.33634719506143,0.0311067614590485,0.383884787833401,0.0513074095870251,0.0311067614590485,1,0.024092379071586,52.0140001062537
LYPD4,7,0,0,0,0.000409942950401379,0.00709110493053505,0.0379376529644607,-9.59568001187198,18.4202112751821,0.0253663925982077,0.00732796315266759,0.00882184490157789,0.00732796315266759,0,0.0243188683050113,121.811000496731
EXOSC5,9,0,0,0,0.000414832925994007,0.000762519245258172,0.00139201303332788,-4.62121137077033,3.92055501154612,0.019601011322255,0.0253946144199315,0.0236048051288235,0.0134326947797515,0.25,0.0261582437662313,16.841000050772
DNMT1,28,0,0,0,0.000165036678433376,0.0016390004678019,0.0108504482889271,4.87556354533313,17.515506140221,0.244032511512636,0.0145579243320628,0.0279786424938879,0.0145579243320628,0,0.0283794918390038,112.619000143604
ZNF428,4,0,0,0,0.000962917694761991,0.00544356153877536,0.0179221679095237,-4.04162475162602,9.14030514698278,0.181278678828006,0.0329071715016346,0.0403262696079542,0.0329071715016346,0,0.0286042299664414,53.4340000646189
ZNF566,6,0,0,0,0.000400570506353718,0.00558211084206229,0.01909535453622,3.51199576961739,13.7876327018882,0.344239693787797,0.0281162327667714,0.0445804272384303,0.0281162327667714,0,0.0291957439930303,82.1910000385251
LOC100129935,13,0,0,0,0.000202933985575997,0.0014995298105246,0.00745232274448241,8.73789137791135,10.7702202475574,0.00775558827543554,0.218719253268922,0.0144686338381247,0.00775558827543554,1,0.0303420319645824,47.8380000153556
SLC1A6,9,0,0,0,0.000364303170312834,0.00149298197889355,0.00713162181781113,3.28549864556439,5.23082598011182,0.150850216384756,0.00893477178502977,0.0138014778823102,0.00893477178502977,0,0.03146944023417,32.973999985843
LOC102724908,74,0,0,0,0.000131621845912859,0.0124376748475084,0.0385619397712537,-248.992245048798,10276.7311123082,0.0140426926795009,0.0179246363873805,0.0157153637092365,0.0140426926795009,1,0.0317143689709985,2258.63200160814
CEBPA-DT,27,0,0,0,0.00024898125401629,0.00367845393178811,0.0354922576332575,14.285834241453,52.8492100242032,0.0494017739496015,0.452929938288856,0.0840364454018431,0.0494017739496015,1,0.0319959654587785,243.727000612416
ZNF302,13,0,0,0,0.000171556636892614,0.00146442229729796,0.00491931542284337,-4.96369190977741,7.18743893147112,0.064101320734088,0.0966141351915712,0.0993145106202472,0.0554144202647471,0.5,0.0342450637581962,46.7180001283996
DNAAF3,16,0,0,0,0.000263243695051571,0.0110908466003042,0.0400900571394906,-22.0747143805991,132.852981857116,0.0554696409967006,0.142366396176842,0.0632473318700075,0.0554696409967006,1,0.0360127057147379,435.471000914345
